Data_Publicacao,Manchete,Score_IA,Classificacao
2026-03-27 01:00:00,Ballan’s $325m transformation: 850 homes for quiet town,0.1266,Positivo (Comprar)
2026-03-27 00:57:09,Bitcoin Price Prediction 2026: The Breakout Condition You Need to Know,0.05,Neutro
2026-03-27 00:52:47,Bit Digital (NASDAQ:BTBT) Reaches New 1-Year Low – What’s Next?,0.0521,Neutro
2026-03-27 00:52:42,Bit Digital (NASDAQ:BTBT) Reaches New 1-Year Low – What’s Next?,0.0521,Neutro
2026-03-27 00:50:11,"Bitcoin Recovery Timeline: A Sobering 300-Day Path Back to Peak, Analysis Suggests",0.0072,Neutro
2026-03-27 00:48:24,XRP Price news as ETFs Pull $1.4B and Pepeto Targets Bigger Returns,0.09,Neutro
2026-03-27 00:46:15,Winners Revealed: D CEO ’s 2026 Commercial Real Estate Awards,0.3829,Positivo (Comprar)
2026-03-27 00:45:45,Efforts to crack down on cryptocurrency scams in Utah,0.0188,Neutro
2026-03-27 00:45:45,How cryptocurrency ATMs play into scammers’ plans and how to avoid them,0.0479,Neutro
2026-03-27 00:45:45,"Bitcoin (BTC) Lost $70,000: What's Next? Is Chainlink (LINK) Hiding $10 Potential? XRP Aims at $1.20 Once Again: Crypto Market Review",0.0,Neutro
2026-03-27 00:45:39,Dogecoin Price Bounces as Opera Eyes 160M CELO and Pepeto Offers Returns DOGE Cannot Match,0.13,Positivo (Comprar)
2026-03-27 00:45:12,"Japanese 5-Year Bond Yield Shatters Record with 1.76% High, Threatening Global Carry Trades",0.0831,Neutro
2026-03-27 00:43:30,Solana Price Holds at $86 as SEC Crypto Shift Lifts Pepeto Presale Beyond SOL Upside,0.05,Neutro
2026-03-27 00:41:11,Ethereum Price News: BlackRock Sends $212M as Pepeto Presale Offers Bigger Returns,0.0929,Neutro
2026-03-27 00:40:12,Bitcoin Miner Liquidation Fears Intensify After MARA’s Staggering $1.1 Billion Sale,0.0764,Neutro
2026-03-27 00:39:08,Bitcoin Price News: ETFs Add $962M as Pepeto Presale Offers Returns BTC Cannot Match,0.13,Positivo (Comprar)
2026-03-27 00:35:12,Bitcoin Options Expiry: A Monumental $13.2 Billion Event Unfolds Today,0.125,Positivo (Comprar)
2026-03-27 00:34:46,Crypto Crashes The Mortgage Party As Coinbase And Better Plug Into Fannie Mae,0.2815,Positivo (Comprar)
