Data_Publicacao,Manchete,Score_IA,Classificacao
2024-04-01 07:00:00,First Bitcoin Depositary Receipt Launches - Markets Media,0.25,Positivo (Comprar)
2024-04-01 07:00:00,March 2024: Bitcoin Reaches New High Ahead of the Halving - Grayscale,0.1482,Positivo (Comprar)
2024-04-02 07:00:00,Bitcoin Is Soaring This Year. Goldman’s Crypto Skeptic Isn’t Biting. - WSJ,0.0,Neutro
2024-04-02 07:00:00,Gold Is Soaring While Bitcoin—and Everything Else—Is Slumping. Here’s Why. - Barron's,0.0,Neutro
2024-04-02 07:00:00,"US Government Preparing To Sell 30,000 Silk Road Bitcoin, On-Chain Data Shows - Bitcoin Magazine",0.0,Neutro
2024-04-02 07:00:00,"Bitcoin tumbles $5,000 in 24 hours as interest rates jump - CNBC",0.0,Neutro
2024-04-02 07:00:00,ProShares Debuts 2X Leveraged/Inverse Bitcoin ETFs - ETF Trends,0.0,Neutro
2024-04-03 07:00:00,‘We’re not believers’: Goldman Sachs doubles down on crypto skepticism despite Wall Street embracing Bitcoin ETFs - Fortune,-0.1556,Negativo (Vender)
2024-04-04 07:00:00,Bitcoin Halving 2024 – This Time It’s Different - CME Group,0.0,Neutro
2024-04-04 07:00:00,DWS launches bitcoin and ethereum ETPs on Deutsche Boerse - ETF Stream,0.0,Neutro
2024-04-05 07:00:00,Roger Ver was right about Bitcoin - Blockworks,0.2857,Positivo (Comprar)
2024-04-05 07:00:00,The fourth bitcoin halving is coming: What it means - Axios,0.0,Neutro
2024-04-06 07:00:00,4 Reasons Why This Bitcoin Halving May Be Different - Investopedia,0.0,Neutro
2024-04-07 07:00:00,Why scarcity is an important feature of bitcoin - Reuters,0.4,Positivo (Comprar)
2024-04-08 07:00:00,Made (or lost) money on bitcoin or other crypto last year? The IRS wants details | CNN Business - CNN,0.025,Neutro
2024-04-08 07:00:00,"Bitcoin Trades Near $72,000 Ahead of Halving. A Boom in Prices Isn’t Guaranteed This Time. - Barron's",0.1,Neutro
2024-04-09 07:00:00,History Says This Is What Happens After Bitcoin Halving - Yahoo Finance,0.0,Neutro
2024-04-09 07:00:00,Wealthy Indians Trade Bitcoin ETFs Using Local Remittance Quotas - Bloomberg,0.25,Positivo (Comprar)
2024-04-09 07:00:00,Bitcoin Was Left for Dead. Why Wall Street Is Bringing It Back to Life. - Barron's,-0.0667,Neutro
2024-04-09 07:00:00,"Can bitcoin, despite risks, make leap from trendy to trusted? - The Christian Science Monitor",0.3,Positivo (Comprar)
2024-04-09 07:00:00,Will Bitcoin Ever Become a Useful Currency? - money.com,0.3,Positivo (Comprar)
2024-04-10 16:50:54,Should You Buy Bitcoin? - Fisher Investments,0.0,Neutro
2024-04-11 07:00:00,Halving: When bitcoin engineers its own scarcity - Le Monde.fr,0.6,Positivo (Comprar)
2024-04-11 07:00:00,Chinese fraud victims seek return of £3bn in bitcoin seized in UK - Financial Times,0.0,Neutro
2024-04-11 07:00:00,The upcoming Bitcoin halving is different from others before it. Here’s what investors need to know - CNBC,0.0,Neutro
2024-04-12 07:00:00,Five Reasons the 2024 Bitcoin Halving is Different - CME Group,0.0,Neutro
2024-04-12 07:00:00,The big Bitcoin 'halving' event is here and we've got everything you need to know - qz.com,0.0,Neutro
2024-04-13 07:00:00,"Bitcoin down by 7.9% to $61,842 - Reuters",-0.1556,Negativo (Vender)
2024-04-13 07:00:00,3 Ways Bitcoin Miners Could Make Up for Lost Revenue After the Halving - Investopedia,0.0,Neutro
